DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,20.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,,,EOF: End of fieldwork,,2010-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2020,27.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,,,EOF: End of fieldwork,,2010-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,58.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife; Women age 12-49 years",,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2003-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,61.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2003-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,77.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2017-2018,,,EOF: End of fieldwork,,2002-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Institute of Statistics; Institute of Public Health; and ICF. 2018. Albania Demographic and Health Survey 2017-18. Tirana; Albania: Institute of Statistics; Institute of Public Health; and ICF.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2019,69.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018-2019,,,EOF: End of fieldwork,,2013-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,98.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Enquête par grappes à indicateurs multiples (MICS) Algérie; 2018-2019. Alger: Ministère de la Santé; de la Population et de la Réforme Hospitalière; 2020 (in French).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2006-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed December 30; 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2010-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed December 30; 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2010-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed December 30; 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2010-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,99,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed September 30; 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2020,90.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2005-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Estadísticas vitales. Información básica. Argentina - Año 2018. Buenos Aires: Ministerio de Salud [Argentina]; 2019 (in Spanish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
