interview_date,child_age_years,child_birthday,EC6,EC7,EC8,EC9,EC10,EC11,EC12,EC13,EC14,EC15
3/31/2019,3,2/20/2016,2,2,1,1,2,1,1,1,2,2
3/14/2019,3,10/19/2015,2,2,2,1,2,2,2,1,1,1
3/17/2019,4,10/26/2014,2,2,2,1,1,1,2,1,2,1
3/14/2019,3,3/21/2015,1,2,2,1,2,1,1,1,2,1
3/14/2019,3,5/18/2015,2,1,1,1,2,1,2,1,2,1
3/14/2019,3,4/20/2015,2,2,2,1,1,1,2,1,1,2
3/21/2019,3,7/21/2015,2,2,1,1,1,1,1,1,2,2
3/14/2019,3,3/17/2015,2,1,2,1,2,1,1,1,2,2
3/14/2019,4,10/27/2014,2,2,2,1,2,1,2,1,2,2
3/14/2019,3,5/23/2015,2,2,2,1,1,1,1,1,2,2
3/17/2019,4,1/31/2015,1,2,2,1,2,1,2,1,2,2
3/17/2019,4,10/22/2014,2,1,2,1,2,1,2,1,1,2
3/25/2019,4,4/5/2014,1,1,1,1,2,1,1,1,2,2
3/25/2019,3,8/11/2015,2,2,2,1,2,1,1,1,1,2
3/21/2019,4,4/2/2014,2,2,2,1,1,1,1,1,2,2
4/6/2019,4,1/3/2015,2,2,2,1,1,1,1,1,2,2
3/24/2019,4,6/17/2014,1,2,1,1,2,1,1,1,1,1
3/21/2019,3,11/11/2015,2,2,2,2,1,1,2,1,1,2
3/24/2019,3,11/22/2015,2,2,2,1,1,2,2,1,1,1
3/22/2019,4,1/27/2015,2,2,2,1,2,1,1,1,1,2
3/22/2019,4,8/5/2014,2,2,2,1,2,1,1,1,2,2
3/22/2019,3,12/24/2015,2,2,2,1,1,1,1,1,1,2
3/22/2019,3,9/19/2015,2,2,2,1,1,1,1,1,2,1
3/31/2019,3,2/16/2016,1,2,2,1,2,1,2,1,2,2
3/24/2019,3,11/14/2015,2,2,2,1,2,1,2,1,1,2
3/24/2019,4,6/13/2014,1,2,1,1,1,1,2,1,2,2
4/2/2019,4,12/18/2014,2,2,2,1,2,1,1,1,2,2
4/8/2019,4,11/15/2014,2,2,1,1,2,1,1,1,1,1
3/25/2019,3,6/18/2015,2,2,2,1,2,1,1,1,2,2
3/30/2019,4,4/23/2014,1,1,1,1,2,1,1,1,2,2
4/6/2019,4,11/17/2014,2,2,2,1,2,1,1,1,1,1
2/22/2019,4,5/21/2014,2,2,2,1,2,1,1,1,2,2
2/21/2019,4,8/5/2014,2,2,2,1,2,1,1,1,1,1
2/22/2019,4,1/27/2015,2,2,2,1,2,1,1,1,1,2
2/24/2019,3,12/22/2015,2,2,1,1,2,1,1,1,2,2
3/2/2019,4,6/11/2014,1,1,1,1,2,1,1,1,1,2
2/11/2019,3,6/17/2015,1,2,2,2,2,1,1,1,1,1
2/11/2019,3,6/5/2015,2,2,2,1,2,1,1,1,1,2
2/12/2019,4,3/17/2014,2,2,2,1,2,1,1,2,2,1
2/12/2019,4,4/13/2014,1,1,1,1,1,1,1,1,2,2
2/11/2019,4,1/29/2015,1,2,1,1,1,1,1,1,1,2
