child_age_months_full,lit_num,phys_ed,learn,soc_emot,ecdi_10
35,0,100,66.699997,66.699997,33.299999
36,0,97.699997,83,75,65.900002
37,9.6999998,93.199997,90.300003,73.800003,67
38,3.4000001,96.599998,87.099998,70.699997,62.099998
39,3.9000001,95.099998,86.300003,73.5,61.799999
40,2.0999999,88.400002,86.300003,75.800003,62.099998
41,6.0999999,98.199997,91.199997,81.599998,74.599998
42,6.6999998,96.199997,94.300003,74.300003,70.5
43,6,97.400002,93.199997,76.900002,71.800003
44,6.3000002,95.800003,85.400002,77.099998,68.800003
45,9.3999996,96.5,78.800003,74.099998,62.400002
46,0,95.599998,90.099998,74.699997,64.800003
47,8.5,98.900002,91.5,74.5,72.300003
48,10.2,93.199997,90.699997,74.599998,67.800003
49,11.6,94.699997,95.800003,78.900002,74.699997
50,15.1,97.199997,96.199997,72.599998,71.699997
51,7.6999998,93.599998,91,80.800003,70.5
52,15.1,95,94.099998,76.5,74.800003
53,15.5,97.300003,89.099998,82.699997,76.400002
54,16.5,97.5,96.699997,82.599998,80.199997
55,15.8,98,96,77.199997,78.199997
56,20.6,93.800003,92.800003,85.599998,78.400002
57,11.7,98.199997,94.599998,79.300003,78.400002
58,19.799999,93.400002,90.599998,79.199997,71.699997
59,20.799999,99.199997,94.199997,75.800003,75
